제목,장소,주소,기간,이미지URL,상세URL,세부장르,후기유무,이미지url,상세url,줄거리,작품설명
귀도 산타나 바이올린 리사이틀,마포아트센터 아트홀 맥,서울 마포구 대흥동 30-3 마포아트센터,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190490_01.858.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008890,줄거리 없음,작품설명 없음
"홍진호, 박현수, 조윤성 연주회",롯데콘서트홀,서울특별시 송파구 올림픽로 300 롯데월드몰 8층 롯데콘서트홀,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190977_01.324.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009901,줄거리 없음,작품설명 없음
2023 대한민국 실내악 작곡제전 Ⅲ,예술의전당 리사이틀홀,서울특별시 서초구 서초동 700번지,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193123_01.930.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23012609,줄거리 없음,작품설명 없음
하반기 크레디아 클래식 클럽,롯데콘서트홀,서울특별시 송파구 올림픽로 300 롯데월드몰 8층 롯데콘서트홀,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189533_01.909.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008277,줄거리 없음,작품설명 없음
지오반니 그라노 ＆ 콰르텟 미티야 콘서트,성남아트리움 대극장,경기 성남시 수정구 태평2동 3309,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191150_01.819.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010007,줄거리 없음,작품설명 없음
최재라 피아노 리사이틀 - 대전,대전시립연정국악원 작은마당,대전 서구 만년동 396,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191875_01.424.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011017,줄거리 없음,작품설명 없음
알렉세이 레베데프 피아노 리사이틀－부산,부산문화회관 중극장,부산 남구 대연4동 848-4번지(문화회관길1),2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190824_01.606.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009738,줄거리 없음,작품설명 없음
KBS교향악단과 함께하는 제7회 여수음악제 실내악 시리즈 1,GS칼텍스 예울마루 소극장,전라남도 여수시 시전동 1003,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191736_01.047.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010943,줄거리 없음,작품설명 없음
열 그리고...,금호아트홀 연세,서울 서대문구 신촌동 연세대학교 연세로 50,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191969_01.133.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011230,줄거리 없음,"피아졸라 | 아베 마리아
A. Piazzolla | Ave Maria

풀랑크 | 즉흥곡 제15번 다단조, FP 176 ‘에디트 피아프를 기리며’
F. Poulenc | Improvisation n.15 in c minor, FP 176 ‘L＇hommage a Edith Piaf’

미요 | 〈스카라무슈 모음곡〉 중 3악장 ‘브라질레이라’
D. Milhaud | 〈Suite Scaramouche〉 III. ‘Brazileira’

베토벤 | 로망스 제2번 바장조, 작품50
L. v. Beethoven | Romance No.2 in F Major, Op.50

크레스톤 | 알토 색소폰 협주곡, 작품26, 1악장
P. Creston | Alto saxophone Concerto, Op.26, mvt.1

몰리넬리 | 〈뉴욕으로부터 온 네 장의 사진〉 중 2악장 ‘탱고 클럽’
R. Molinelli | 〈Four Pictures from New york〉 mvt.2, ‘Tango Club’

이투랄데 | 작은 춤곡
P. Iturralde | Pequena Czarda

피아졸라 | 리베르탱고
A. Piazzolla | Libertango
 "
베이스바리톤 길병민 리사이틀,푸르지오 아트홀,서울 중구 을지로4가 261-4 을지트윈타워 서관 3층,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192328_01.940.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011647,줄거리 없음,작품설명 없음
남유리나 첼로 독주회,예술의전당 인춘아트홀,서울특별시 서초구 서초동 700번지,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191534_01.706.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010687,줄거리 없음,작품설명 없음
윤용진 바순 독주회,세종문화회관 체임버홀,서울시 종로구 세종로 81-3,2023/09/06 ~ 2023/09/06,,,클래식,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191762_01.255.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=P0003556,줄거리 없음,"N. Paganini (1782-1840)
Variations on one string on a theme by Rossini

G. Rossini (1792-1868)
Duo for Cello and Double Bass

INTERMISSION

F. Mendelssohn (1809-1847)
Song without words in D Major Op.109
Cello sonata No. 2 in D Major Op. 58"
제26회 서울세계무용축제,예술의전당 자유소극장,서울특별시 서초구 서초동 700번지,2023/09/02 ~ 2023/09/06,,,무용,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191591_01.017.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010746,줄거리 없음,작품설명 없음
삼청각 수요상설공연,삼청각 일화당,서울특별시 성북구 대사관로3 삼청각,2023/07/05 ~ 2023/12/13,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189584_01.558.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008319,국악,O,,,줄거리 없음,작품설명 없음
연무,성균소극장,서울 종로구 명륜동 149 번지,2023/08/30 ~ 2023/09/20,,,발레,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190854_01.157.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009768,줄거리 없음,작품설명 없음
이철진의 승무이야기,성균소극장,서울 종로구 명륜동 149 번지,2023/07/03 ~ 2023/12/18,,,무용,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188565_01.446.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007015,줄거리 없음,작품설명 없음
리커넥트 히스토리 Ⅱ,서강대학교 메리홀 대극장,서울 마포구 신수동 1번지 서강대학교,2023/09/05 ~ 2023/09/06,,,발레,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191521_01.228.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010665,줄거리 없음,작품설명 없음
춤의향연 - 수원,경기아트센터 소극장,경기 수원시팔달구 인계동 1117번지,2023/07/29 ~ 2023/10/14,,,발레,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189948_01.510.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008676,줄거리 없음,작품설명 없음
련(連),성균소극장,서울 종로구 명륜동 149 번지,2023/09/05 ~ 2023/09/26,,,한국무용,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190856_01.008.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23009769,줄거리 없음,작품설명 없음
논개삼첩論介三帖－인천,부평아트센터 해누리 극장,인천 부평구 십정동 186-411,2023/09/06 ~ 2023/09/06,,,한국무용,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192249_01.533.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011549,줄거리 없음,작품설명 없음
친절한 돼지씨 - 강진,강진 아트홀,전남 강진군 강진읍 남성리 23-2번지,2023/09/06 ~ 2023/09/06,,,어린이/가족,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192045_01.419.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011319,줄거리 없음,작품설명 없음
이불 위에서,대학로극장 쿼드,서울특별시 종로구 동숭동 1-5 대학로극장 쿼드,2023/09/06 ~ 2023/09/06,,,현대무용,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191476_01.704.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010613,줄거리 없음,작품설명 없음
"산조, 그 흐름 속으로",대학로예술극장 대극장,서울특별시 종로구 동숭동 1-67,2023/09/06 ~ 2023/09/08,,,한국무용,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191423_01.938.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010539,줄거리 없음,작품설명 없음
판소리 다섯마당 - 대전,대전시립연정국악원 작은마당,대전 서구 만년동 396,2023/03/30 ~ 2023/11/23,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_185468_01.952.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23002720,국악,O,,,줄거리 없음,작품설명 없음
2023 수림뉴웨이브 스페셜,김희수아트센터,서울 동대문구 청량리동 206-46,2023/09/05 ~ 2023/09/09,,,국악,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192567_01.004.gif,후기탭 없음,줄거리 없음,작품설명 없음
대전시립연정국악원 K브런치콘서트 - 대전,대전시립연정국악원 작은마당,대전 서구 만년동 396,2023/03/29 ~ 2023/11/29,,,국악,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_185368_01.230.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23002248,"축하 개막공연 | 9/5(화) 19:30 SPACE1
작곡가 양방언
우리나라에 ‘창작국악’ 붐을 일으켰던 ‘Frontier’의 작곡가 양방언이 개막공연을 통해 이번 축제를 응원하는 공연을 펼친다. 작곡가, 프로듀서, 피아니스트 양방언은 공연, 축제, 게임, 영화, 다큐멘터리 음악감독 등 다방면에서 활발히 활동 중이다. 1996년 솔로 데뷔 후 다수의 음반 발매 및 2002년 부산 아시안게임 공식 주제곡 Frontier! 작·편곡, 국립극장 여우락 페스티벌 음악감독, 2018년 평창동계올림픽 개폐회식 음악감독을 맡았다. 
작곡·피아노 양방언 / 바이올린 강이채 / 첼로 임수연

2022 수림뉴웨이브 아티스트 | 9/6(수) 19:30 SPACE1
아쟁 김범식 <한국의 새로운 정서>
아쟁연주자 김범식은 한국예술종합학교 전통예술원을 졸업 후, 그동안 학습해온 전통적 음악 어법을 잇는 ‘새로운 전통음악’으로 아쟁이 가진 다양한 가능성을 실험하고 확장하고 있다. 전통 판소리를 통해 전통음악 서사를 기반으로 한국의 새로운 정서를 가진 음악을 만들고자 한다. 현재 ‘The 세로’의 대표이자 작곡가, 아쟁연주자로 활동하며 2020년 정동극장 청춘만발 우수아티스트, 2019 청춘열전 출사표 대상 등 좋은 성과를 보여주고 있다.
작곡·아쟁 김범식 / 판소리 이승민 / 가야금 문세미 / 타악 양성태 / 해금 권성은 / 철현금 정보영

2021 수림뉴웨이브 아티스트 | 9/7(목) 19:30 설립자기념홀
대금 송지윤 <초임계유체>
대금 연주자이자 즉흥음악가. 음악적 새로움에 대한 의문과 호기심을 원동력으로, 소리와 악기에 대한 탐 구와 실험의 과정을 거듭한다. 항상 깨어있고 행동하는 것을 중요하게 생각하며, 전통의 범주를 넘어 경계 없는 창작자로 남고자 한다. 2021년부터 서울문화재단, 한국문화예술위원회의 지원을 받아 서울을 기반으로 즉흥음악콘서트 시리즈를 기획하고 있다. 파리와 베를린을 오가며 즉흥음악과 현대음악 장르에서 활발한 활동을 이어가고 있으며, S.P.I.M.E festival, Festival son d’hiver paris, Radio France ‘A improviste’, Radio Liberte 등에 출연하고, concert ‘Les monde d’ici’, 아시안뮤직앙상블 A.M.E멤버, 리퀴드사운드 아티스트로 활동하고 있다.

대금 송지윤 / 치 이휘순 / 사운드 Remi Klemensiewicz / 연출 이인보
2022 수림뉴웨이브 아티스트 | 9/8(금) 19:30 SPACE1
연희 성유경 <연희에 닿다>
고창 소고춤의 자유로운 춤사위를 사랑하고 독창적으로 풀어 내는 한국 전통타악 연주자이다. 한국예술종합학교에서 전문적인 연희 교육을 받았으며, 2010년과 2014년 세계사물놀이 대회에서 대통령상을 수상했다. 전통에 대한 이해와 수련을 바탕으로 하는 동시대적 상상을 즐기는 성유경의 예술적 태도는 창작의 원동력이 된다. 이러한 동시적 상상은 ‘공감’이라는 그의 예술 모토와도 관련이 깊다. 관객과 공감하여 감동이 되는 무대를 만들고, 그 감동의 울림이 무대 밖 사회 구성원들에게 공감할 수 있는 메시지를 전하며 긍정적인 영향을 미칠 수 있도록 하는 연희 아티스트가 되는 것이 그의 목표이다.
연희 성유경 / 꽹과리 조예영 / 징 권우식 / 장구 이강희 / 북 김광수 / 생황·태평소 천성대 / 드럼 서준호 / 피아노 이원현?/ 동해안장구 방지원

2022 수림뉴웨이브상 수상자 | 9/9(토) 17:00 SPACE1
고수 이향하 <이향하 소품집>
 이향하는 전통타악기를 기반으로 다양한 형태의 음악을 만들어내는 창작자로 판소리 창작 집단 <입과손스튜디오>의 대표로 활동하고 있다. 특히 지난 15년여간 창작 판소리 작업에 몰두하며 판소리 안에서의고수의 역할 확장과 음악적 실험을 이어오며 가장 판소리적인 감각을 통한 판소리 만들기 방법을 찾는 작업을 하고 있다.
작곡·키보드 외 악기 연주 이향하 / 소리꾼 이승희(긴긴밤 눈대목) / 
드럼 외 연주 이유준(긴긴밤 눈대목) / 거문고 최진아 / 정가 지민아","“한국음악의 파장을 다시 만드는 우리음악 축제”


Soorim Newwave Special Stage


우리 전통 기반 창작음악 예술가를 발굴하고 지원하는 수림문화재단의 ‘수림뉴웨이브’는 그동안 예술가에게는 예술적 실험의 장, 관객들에게는 우리음악의 새로운 발견을 선물하는 대표적인 예술축제로 자리매김해왔습니다.

매년 새로운 주제에 맞춰 작업을 해온 수림뉴웨이브는 2023년 ‘Re:Wave’라는 특별한 축제를 통해서 지난 수림뉴웨이브와 함께했던 아티스트의 지금을 다시 주목하고, 그들의 성장을 발견하고 지지하고자 합니다. 지금 우리 음악을 만날 수 있는 다채로운 공연으로, 다시 한번 한국음악의 물결을 만듭니다."
토요국악 - 대전,대전시립연정국악원 작은마당,대전 서구 만년동 396,2023/03/11 ~ 2023/11/25,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/02/0400012302_184886_01.523.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23002011,국악,O,,,줄거리 없음,작품설명 없음
2023 정오의 사랑방 음악회,정동극장 정동마루,서울시 중구 정동길 43 정동극장,2023/09/06 ~ 2023/09/06,,,국악,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191808_01.738.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23010597,줄거리 없음,작품설명 없음
경상연희 - 대구,꿈꾸는씨어터,대구 남구 대명5동 1713-2 지하,2023/09/06 ~ 2023/09/06,,,국악,X,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192052_01.415.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23011330,줄거리 없음,작품설명 없음
